,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
17,18,18,11,12,18,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
18,18,19,8,21,19,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
19,18,20,5,9,20,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
20,18,21,10,16,21,0.0,0,0 days 00:00:00,,0.0,0.0,0 days 00:00:00,188.29933540372681,4
21,18,22,11,10,22,0.0,58,0 days 00:00:00,,44.0,8.0,0 days 00:01:28.736000,215.141,2
22,19,8,6,2,1,10.0,56,0 days 01:31:18.555000,5478555.0,37.0,2.0,0 days 00:01:35.405000,209.158,1
23,19,9,2,4,2,8.0,56,0 days 01:31:38.125000,5498125.0,39.0,6.0,0 days 00:01:35.921000,208.033,1
24,19,5,1,8,3,6.0,56,0 days 01:31:57.005000,5517005.0,19.0,7.0,0 days 00:01:35.922000,208.03099999999998,1
25,19,15,7,3,4,5.0,56,0 days 01:32:04.387000,5524387.0,53.0,8.0,0 days 00:01:36.068000,207.715,1
26,19,1,1,9,5,4.0,56,0 days 01:32:05.103000,5525103.0,53.0,3.0,0 days 00:01:35.462000,209.033,1
27,19,2,2,5,6,3.0,56,0 days 01:32:08.388000,5528388.0,55.0,1.0,0 days 00:01:35.366000,209.24400000000003,1
28,19,17,9,6,7,2.0,56,0 days 01:32:26.685000,5546685.0,53.0,12.0,0 days 00:01:36.696000,206.36599999999999,1
29,19,4,4,7,8,1.0,56,0 days 01:32:28.596000,5548596.0,40.0,10.0,0 days 00:01:36.288000,207.24,1
30,19,14,9,12,9,0.0,56,0 days 01:32:34.775000,5554775.0,55.0,9.0,0 days 00:01:36.206000,207.417,1
31,19,18,11,11,10,0.0,56,0 days 01:32:44.769000,5564769.0,56.0,4.0,0 days 00:01:35.715000,208.481,1
32,19,12,4,13,11,0.0,56,0 days 01:32:50.757000,5570757.0,52.0,15.0,0 days 00:01:36.956000,205.812,1
33,19,21,10,17,12,0.0,55,0 days 00:00:00,,52.0,16.0,0 days 00:01:36.962000,205.8,11
34,19,22,11,14,13,0.0,55,0 days 00:00:00,,55.0,11.0,0 days 00:01:36.693000,206.372,11
35,19,3,3,16,14,0.0,55,0 days 00:00:00,,55.0,13.0,0 days 00:01:36.782000,206.18200000000002,11
36,19,19,8,21,15,0.0,55,0 days 00:00:00,,55.0,18.0,0 days 00:01:38.171000,203.265,11
37,19,11,8,19,16,0.0,54,0 days 00:00:00,,53.0,19.0,0 days 00:01:38.504000,202.578,12
38,19,6,3,22,17,0.0,54,0 days 00:00:00,,19.0,17.0,0 days 00:01:37.711000,204.222,12
39,19,20,5,15,18,0.0,39,0 days 00:00:00,,37.0,14.0,0 days 00:01:36.870000,205.995,5
40,19,13,6,1,19,0.0,30,0 days 00:00:00,,15.0,5.0,0 days 00:01:35.914000,208.048,20
