,raceId,driverId,constructorId,grid,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
86,1084,825,210,6,7,2,23,+34.539,1624598.0,4.0,0 days 00:01:09.232000,1
87,1084,1,131,9,8,1,23,+35.447,1625506.0,7.0,0 days 00:01:09.516000,1
88,1084,854,210,7,9,0,23,+37.163,1627222.0,4.0,0 days 00:01:09.457000,1
89,1084,822,51,12,10,0,23,+37.557,1627616.0,4.0,0 days 00:01:09.674000,1
90,1084,846,1,15,11,0,23,+38.580,1628639.0,8.0,0 days 00:01:09.909000,1
91,1084,817,1,16,12,0,23,+39.738,1629797.0,8.0,0 days 00:01:09.996000,1
92,1084,840,117,17,13,0,23,+48.241,1638300.0,4.0,0 days 00:01:10.295000,1
93,1084,855,51,18,14,0,23,+50.753,1640812.0,11.0,0 days 00:01:10.165000,1
94,1084,842,213,10,15,0,23,+52.125,1642184.0,4.0,0 days 00:01:10.409000,1
95,1084,848,3,11,16,0,23,+52.412,1642471.0,5.0,0 days 00:01:10.367000,1
96,1084,852,213,14,17,0,23,+54.556,1644615.0,4.0,0 days 00:01:10.267000,1
97,1084,849,3,19,18,0,23,+1:08.694,1658753.0,4.0,0 days 00:01:10.284000,1
98,1084,20,117,20,19,0,21,\N,0.0,4.0,0 days 00:01:10.317000,130
99,1084,4,214,8,20,0,0,\N,0.0,0.0,0 days 00:00:00,10
